periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20242;SB11202430138015;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;176520000331;176520000331;76;76520;156067;VALLE;MIXTO;NOCHE;PALMIRA;OFICIAL; INSTITUCION EDUCATIVA ANTONIO LIZARAZO;INSTITUTO TECNICO INDUSTRIAL Y COMERCIAL ANTONIO LIZARAZO;S;2;A-;3;3;2;S;76;76520;76;76520;Más de 3 horas;Más de 2 horas;VALLE;VALLE;N;06/03/2006;M;26;Menos de 10 horas;46.089516;PALMIRA;PALMIRA;COLOMBIA;2;2;COLOMBIA;N;0;Si, en efectivo;3 a 5 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;Si;Si;No;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Trabaja por cuenta propia (por ejemplo plomero, electricista);52;62;35;80;48;69;51;273;46;63;52;55
20242;SB11202430004626;ESTUDIANTE;TI;RURAL;;A;TÉCNICO;276109000031;276109002114;76;76109;555565;VALLE;MIXTO;MAÑANA;BUENAVENTURA;OFICIAL;SANTA CECILIA;CONCEPCION;N;2;A1;2;2;1;S;76;76109;76;76109;;;VALLE;VALLE;N;09/11/2007;F;11;;;BUENAVENTURA;BUENAVENTURA;COLOMBIA;2;;COLOMBIA;N;0;;;;;;;;Estrato 1;;;;;;;;;;;;;;31;16;43;8;16;21;44;202;48;38;39;38
20242;SB11202430536111;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;105001010588;105001010588;5;5001;726513;ANTIOQUIA;MIXTO;UNICA;MEDELLÍN;OFICIAL;INST EDUC FE Y ALEGRIA LA CIMA;INST EDUC FE Y ALEGRIA LA CIMA;S;2;A-;2;2;1;S;5;5001;5;5001;30 minutos o menos;Entre 30 y 60 minutos;ANTIOQUIA;ANTIOQUIA;N;15/07/2006;M;11;0;59.350952;MEDELLÍN;MEDELLÍN;COLOMBIA;3;3;COLOMBIA;N;0;No;3 a 5 veces por semana;Todos o casi todos los días;3 a 5 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Educación profesional completa;Estrato 3;0 A 10 LIBROS;3 a 4;Mejor;No;Si;No;Si;Si;Si;Si;Si;No sabe;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);25;10;5;9;14;12;42;189;32;39;38;34
20242;SB11202430612584;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;341807000731;341807000731;41;41807;140426;HUILA;MIXTO;SABATINA;TIMANÁ;NO OFICIAL;COLEGIO ATENEO AUTONOMO;COLEGIO ATENEO AUTONOMO - SEDE PRINCIPAL;S;1;A-;2;2;2;S;41;41807;41;41807;Entre 1 y 3 horas;30 minutos o menos;HUILA;HUILA;N;16/08/2004;F;26;Entre 11 y 20 horas;50.870499;TIMANÁ;TIMANÁ;COLOMBIA;2;2;COLOMBIA;N;0;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 3;0 A 10 LIBROS;3 a 4;Igual;Si;Si;No;No;No;Si;Si;Si;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;10;15;2;21;23;31;36;200;28;45;42;41
20242;SB11202430612583;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;341807000731;341807000731;41;41807;140426;HUILA;MIXTO;SABATINA;TIMANÁ;NO OFICIAL;COLEGIO ATENEO AUTONOMO;COLEGIO ATENEO AUTONOMO - SEDE PRINCIPAL;S;2;A1;3;2;2;S;41;41807;41;41807;Entre 30 y 60 minutos;No leo por entretenimiento;HUILA;HUILA;N;15/08/2000;F;26;Entre 21 y 30 horas;35.502224;TIMANÁ;TIMANÁ;COLOMBIA;2;1;COLOMBIA;N;56045;;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;0 A 10 LIBROS;3 a 4;Peor;No;No;No;No;No;No;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;36;41;46;40;44;45;46;242;49;51;50;46
20242;SB11202430571663;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;108001003068;108001003068;8;8001;93476;ATLANTICO;MIXTO;NOCHE;BARRANQUILLA;OFICIAL;INSTITUCION EDUCATIVA DISTRITAL SARID ARTETA DE VASQUEZ;INSTITUCION EDUCATIVA DISTRITAL SARID ARTETA DE VASQUEZ - SEDE PRINCIPAL;S;1;A-;2;1;1;S;8;8001;8;8001;;No leo por entretenimiento;ATLANTICO;ATLANTICO;N;20/11/2006;F;26;Menos de 10 horas;51.138981;BARRANQUILLA;BARRANQUILLA;COLOMBIA;2;2;COLOMBIA;N;0;Si, en especie;;1 o 2 veces por semana;;Tres;Primaria completa;;Estrato 3;;1 a 2;Igual;Si;Si;Si;No;No;;Si;;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Trabaja en el hogar, no trabaja o estudia;5;6;7;7;6;26;34;178;34;38;32;39
20242;SB11202430146068;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;350001001559;350001001559;50;50001;44578;META;MIXTO;MAÑANA;VILLAVICENCIO;OFICIAL;COLEGIO NUESTRA SE¿ORA DE FATIMA-PONAL;COLEGIO NUESTRA SEÑORA DE FATIMA-PONAL;S;2;A2;3;3;2;S;50;50001;50;50001;Más de 3 horas;No leo por entretenimiento;META;META;N;02/01/2008;F;11;0;65.129028;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;3;4;COLOMBIA;N;0;No;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Tres;Técnica o tecnológica completa;Educación profesional completa;Estrato 3;11 A 25 LIBROS;3 a 4;Igual;Si;Si;No;Si;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;Pensionado;65;59;82;49;58;47;55;268;63;54;55;47
20242;SB11202430287405;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;176001020693;176001020693;76;76001;735118;VALLE;MIXTO;UNICA;CALI;OFICIAL;INSTITUCION EDUCATIVA HUMBERTO JORDAN MAZUERA;INSTITUCION EDUCATIVA HUMBERTO JORDAN MAZUERA - SEDE PRINCIPAL;S;2;A-;2;2;2;S;76;76001;76;76122;Entre 30 y 60 minutos;No leo por entretenimiento;VALLE;VALLE;N;17/02/2007;F;11;0;49.173721;CALI;CAICEDONIA;COLOMBIA;2;2;COLOMBIA;N;0;Si, en efectivo;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) incompleta;Técnica o tecnológica incompleta;Sin Estrato;0 A 10 LIBROS;3 a 4;Mejor;No;Si;No;Si;Si;Si;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);52;39;30;32;16;63;51;238;44;49;39;53
20242;SB11202430514777;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;325754003592;325754003592;25;25754;137679;CUNDINAMARCA;MIXTO;COMPLETA;SOACHA;NO OFICIAL;INSTITUTO DE INTEGRACION ESCOLAR SAN AGUSTIN;INSTITUTO DE INTEGRACION ESCOLAR SAN AGUSTIN;S;2;A2;3;3;3;S;25;25754;25;25754;Más de 3 horas;30 minutos o menos;CUNDINAMARCA;CUNDINAMARCA;N;16/01/2007;F;11;0;49.45153;SOACHA;SOACHA;COLOMBIA;3;2;COLOMBIA;N;0;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 2;26 A 100 LIBROS;3 a 4;Peor;Si;Si;No;No;Si;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);39;71;75;84;66;79;47;287;59;65;58;59
20242;SB11202430041642;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;125754002147;125754002147;25;25754;59980;CUNDINAMARCA;MIXTO;MAÑANA;SOACHA;OFICIAL;INSTITUCION EDUCATIVA  SAN MATEO;SEDE PRINCIPAL;S;2;A-;3;3;2;S;25;25754;25;25754;Más de 3 horas;30 minutos o menos;CUNDINAMARCA;CUNDINAMARCA;N;03/06/2006;F;11;;54.779308;SOACHA;SOACHA;COLOMBIA;3;3;COLOMBIA;N;0;;Todos o casi todos los días;Nunca o rara vez comemos eso;1 o 2 veces por semana;;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;26 A 100 LIBROS;;;;;;;Si;;;No;;;62;55;40;46;60;53;54;263;47;53;56;49
